id,Service_type,Customer,Monthly_fee,Advertisement_budget,Size,Promotion,Interest_rate,Period,Label
1,Fund,Student,0.64,0.95,Small,Full,0,10,26.72
2,Fund,Student,0.34,1.02,Small,Full,0,4,27.51
3,Fund,Student,1.3,1.06,Small,Web&Email,2,6,21.81
4,Fund,Student,0.84,1.29,Small,Web&Email,1,20,22.12
5,Fund,Business,1.07,1.12,Small,Full,1,75,26.38
6,Fund,Business,1.01,1.16,Small,Full,2,85,26.63
7,Fund,Business,0.7,1.19,Small,Web&Email,2,45,26.42
8,Fund,Business,0.72,0.8,Small,Full,0,50,27.58
9,Loan,Professional,2.81,2.79,Small,Full,1,74,26.34
10,Loan,Professional,3.73,1.16,Small,Web&Email,1,93,27.38
11,Loan,Professional,2.41,3.21,Small,Full,0,79,22.6
12,Loan,Professional,5.18,4.12,Small,Full,1,104,24.96
13,Loan,Professional,2.86,1.81,Small,Web&Email,0,82,24.69
14,Loan,Other,3.11,3.36,Small,Web&Email,1,95,21.79
15,Loan,Other,4.07,3.75,Small,Full,3,92,25.51
16,Loan,Other,3.06,0.91,Small,Full,2,81,22.89
17,Loan,Other,2.9,1.06,Small,Web&Email,0,68,27.83
18,Mortgage,Business,1.68,0.92,Small,Web,3,20,24.72
19,Mortgage,Business,1.65,0.89,Small,Web,2,15,37.36
20,Mortgage,Business,2.01,0.91,Small,None,5,25,30.28
21,Mortgage,Business,1.68,0.56,Small,None,3,34,23.91
22,CD,Business,1.31,0.93,Small,None,0,23,29.79
23,CD,Business,1.61,1.04,Small,Web,1,45,24.36
24,CD,Business,1.49,1.43,Small,None,0,50,28.69
25,CD,Business,1.49,0.89,Small,None,0,36,34.77
26,Bank_Account,Business,4.74,1.4,Large,None,1,15,20.96
27,Bank_Account,Business,4.94,1.12,Large,None,0,11,22.64
28,Bank_Account,Professional,4.64,1.12,Large,Web,2,13,26.04
29,Bank_Account,Professional,1.74,0.49,Medium,None,1,8,22.92
30,Bank_Account,Professional,2.79,1.07,Large,Web,0,13,25.45
31,Bank_Account,Professional,2.8,1.21,Medium,None,2,13,21.61
32,Bank_Account,Business,3.31,0.81,Medium,None,1,24,23.02
33,Bank_Account,Business,2.43,0.7,Large,Web,0,19,21.43
34,Bank_Account,Business,2.55,0.68,Medium,Web,1,14,22.5
35,Bank_Account,Student,5.37,1.08,Medium,Web,0,19,18.34
36,Bank_Account,Student,3.23,1.41,Large,None,0,26,16.84
37,Bank_Account,Student,2.73,1.05,Large,None,1,17,18.78
38,Bank_Account,Doctor,3.7,0.84,Medium,None,0,19,21.62
39,Bank_Account,Doctor,2.51,1.49,Large,Web,1,18,18.05
40,Bank_Account,Doctor,4.86,1.25,Medium,None,0,18,16.98
41,Bank_Account,Doctor,1.77,1.2,Large,None,2,21,17.11
42,Bank_Account,Doctor,2.33,0.85,Medium,Web,1,15,14.79
43,Loan,Business,17,4.53,Large,Web,2,93,30.22
44,Loan,Business,10.82,6.47,Large,Web,3,105,32.66
45,Loan,Professional,11.1,5.03,Large,Web,2,79,30.59
46,Loan,Professional,13.18,6.23,Large,Web,2,96,28
47,Loan,Business,10.53,6.05,Medium,Web,4,82,30.3
48,Loan,Professional,16.68,4.65,Large,Web,1,87,34.77
49,Loan,Professional,12.33,3.8,Medium,Web,2,99,33.19
50,Loan,Professional,12.04,4.64,Large,Web,3,69,34.37
51,Loan,Doctor,14.79,4.87,Medium,None,1,86,33.6
52,Loan,Doctor,7.76,3.47,Large,None,2,96,33.77
53,Loan,Doctor,12.92,6.41,Medium,None,3,74,39.24
54,Loan,Business,10.83,3.3,Large,None,4,88,26.17
55,Loan,Professional,15.99,3.93,Large,None,2,86,34.02
